Onset,Offset
0.06,0.870748299
1.075,1.64861678
1.76,2.031746032
2.1,2.554195011
2.775,3.552653061
3.805,4.365351474
4.485,4.760816327
4.825,5.093877551
5.165,5.420408163
5.51,6.236734694
6.53,7.105306122
7.215,7.497142857
7.555,8.052244898
8.23,9.071020408
9.26,9.839455782
9.94,10.234920635
10.28,10.561451247
10.62,10.917006803
10.965,11.784126984
11.985,12.567800454
12.67,14.425396825
13.005,13.489
13.685,14.47
14.71,15.281632653
15.395,15.666213152
15.735,16.007256236
16.075,16.34829932
16.42,17.995464853
