Marca de temps,Name of Student Track ,"Q1. Note Onset Security. Did the student hit the note at exactly the right time, not too early, too late? (consider syncopation and stylisitic elements) [Onset ]"," Please add comments regarding overall exactness of the musician to hit the note at the appropriate time from listening to the piece, justifying your grade and mentioning particular bars of interest.","Q2. Duration. Holding note for the required length, capturing right amount of note separation. [Duration]", Please add comments regarding overall aspect of duration/ note length you have from listening to the piece justifying your grade and mentioning particular bars of interest.,Q1. Syncopated repeated notes that require precision. [Articulation],Q2. Sound Quality                                           [Sound Quality],"Please add additional comments on the above Technical Control aspects of the song, to justify your choice.","Please add additional comments on stylistic understanding (eg mood and character),  listener engagement. Finally write a number between 5 (highly convincing) and 1 (unreliable) classify the overall impact of the song.                            "
2021/04/28 9:54:27 a. m. EET,walk1,"Very accurate, tiny deviations","Vigilar el groove del ""bridge"", hay algunos desajustes en esa parte. ",Excellent fidelity to defined note duration,"Muy buena ""note duration"". Buena diferenciación entre las notas largas de la ""intro"" y el ""verse"" y las cortas del ""bridge"".",Fullfilled,Largely good (ocassion lapse),Vigilar el ataque de las notas. Si amplicamos demasiada fuerza a las cuerdas (como es el caso) tenemos demasiado ataque y eso hace que se pierda definición en el sonido. ,4
2021/04/28 9:59:38 a. m. EET,walk4,Some noticeable deviations,"Clara tendencia a tocar demasiado deprisa. Si escuchasemos esta grabación con el ""backing track"", sería difícil sincornizar el bajo y la bateria. ",fair,"En esta canción las notas deben ser mas largas al prinicipio y más cortas en el ""bridge"". ",Largely fulfilled (ocassion lapse),Largely good (ocassion lapse),"Poca precisión rítmica y control del sonido. Además en los cambios de secciones hay problemas para mantener el ""beat"". ",2
2021/04/28 10:04:32 a. m. EET,walk6 ,Mostly accurate,"Buena ""Note Onset Security"" en la ""intro"" y el ""verse"" pero debemos vigilar en el ""bridge"".",very good fidelity,"Aunque en la primera parte de la canción la ""duration"" de las notas es muy buena, en el ""bridge"" tenemos que las notas no sean tan ""staccato"" (aunque sean notas cortas). ",Fullfilled,Very Good,"Buena ""Articulation"" y ""Sound control"" aunque con algunos desajustes puntuales (debido a la técnica). ",3
2021/04/28 10:07:44 a. m. EET,walk7 ,Mostly accurate,"Vigilar con la tendencia a tocar por detrás del ""beat"" (demasiado lento) en algunas partes de la canción. ",very good fidelity,"Buena ""duration"" de las notas. La diferenciación de las patrtes es buena. ",Fullfilled,Largely good (ocassion lapse),"Aunque hay ciertos desajustes de ""note onset security"", el ""groove"" está claro y es bastante preciso. Seguramente debido a la calidad de la grabación, no se puede apreciar mucho el sonido de esta canción.",3
2021/04/28 10:11:18 a. m. EET,walk8 ,"Very accurate, tiny deviations","Generalmente buena ""Note onset security"" aunque con algunos desajustes puntuales (tal vez por la téncica o concentración). ",very good fidelity,"Buena ""duration"" de las notas, muy clara la diferenciación de notas largas de la ""intro"" y ""verse"" y las notas cortas del ""bridge""",Fullfilled,Very Good,"Muy buena articulación aunque tenemos poca calidad de sonido, se puede percibir buen sonido en la actuación. ",4
2021/07/20 12:41:42 p. m. EET,walk2,Mostly accurate,"2nd half there were more blemishes in  the metronome.
IF split in 2 I w0ould give 3.5 first part 2.5 second part",good,"Again, in both bridge and verse, rushed notes meant incorrect note length on some occasions",Largely fulfilled (ocassion lapse),Very Good,Some times the sound of the held note modulated as a result of lack of muting of previous note That was the sensation. Discipline fell down in 2nd half,3
2021/07/20 12:45:54 p. m. EET,walk3,Some noticeable deviations,"very good first part, musical .
Some imprefection in details in teh bridge. Sensation was that score was not followed 100%
Very early onsets in 2nd half

1st half 3,5, 2nd half 2",fair,"1st half 3,5, 2nd half 2",Largely fulfilled (ocassion lapse),Very Good,Again overall technical control fell down in 2nd half. They should be truncated and separately graded.,3
2021/07/20 12:48:53 p. m. EET,walk5,Mostly accurate,onsets generally a bit early,good,held notes were ok. duration generally ok in bridge also ,Largely fulfilled (ocassion lapse),Very Good,"Again liek student 2 and 3,  big dip in the 2nd half 3.5 first half 2 in 2nd half",3
2021/07/20 2:49:51 p. m. EET,walk9,"Very accurate, tiny deviations","excellent opening, maybe check lyric cues for exact onset.",Excellent fidelity to defined note duration,slighlty rushing. better score than previous. Bass E/Q a bit heavy.,Fulfilled to a very high degree,Excellent,"Musical , vert bassy, syncopation target met.",4
2021/07/20 7:23:14 p. m. EET,walk10,Mostly accurate,fair verse but bridge was way off,good,you could fair verse but bridge was way off. Bridge messed up,Generally fulfilled,A few blemishes,lot of glitches in the sound,2
2021/07/20 7:26:04 p. m. EET,walk11,"Very accurate, tiny deviations","verses OK, but not so tight on bridge",very good fidelity,"start good , not very constant kriff deviation towards end of verse. 

Bridge seemed to rush again . I need to listen again to stem to here what should happend",Largely fulfilled (ocassion lapse),A few blemishes,lots of ghliteches heard. something seem not quite right in the bridge.,3
