Student,precision,recall,f_measure_value,Onset ABS Mean,Onset Mean,Onset Std,Duration ABS Mean,Duration Mean,Duration Std,onsetMark, DurationMark, TF 1 Mark ,Sound Quality Mark, finalMark
0,0.893,0.905,0.899,0.005,-0.003,0.006,0.005,-0.003,0.006,100,100,100,100,5
1,0.376,0.381,0.378,0.01,-0.002,0.011,0.022,0.021,0.024,72.0,90.0,72.0,79.2,2.7
2,0.571,0.571,0.571,0.01,-0.001,0.011,0.023,0.02,0.026,79.2,90.0,79.2,79.2,3.6
3,0.235,0.238,0.236,0.011,0.008,0.013,0.025,0.017,0.028,79.2,79.2,79.2,90.0,3.6
4,0.091,0.088,0.09,0.007,0.007,0.01,0,0,0,90.0,90.0,90.0,79.2,4.5
5,0.276,0.272,0.274,0.01,-0.0,0.012,0.017,0.016,0.021,72.0,79.2,79.2,79.2,3.6
6,0.464,0.435,0.449,0.01,0.0,0.011,0.025,0.017,0.026,72.0,79.2,79.2,90.0,3.6
7,0.376,0.381,0.378,0.01,-0.002,0.011,0.022,0.021,0.024,79.2,72.0,79.2,72.0,2.7
8,0.571,0.571,0.571,0.01,-0.001,0.011,0.023,0.02,0.026,56.7,72.0,33.300000000000004,33.300000000000004,0.9
