Student,precision,recall,f_measure_value,Onset ABS Mean,Onset Mean,Onset Std,Duration ABS Mean,Duration Mean,Duration Std,onsetMark, DurationMark, TF 1 Mark , TF 2 Mark ,Sound Quality Mark, finalMark
0,1.0,0.988,0.994,0.0,-0.0,0.0,0.0,-0.0,0.0,100,100,100,100,100,5
1,0.067,0.07,0.068,0.008,0.006,0.01,0.858,-0.854,1.196,79.2,90.0,79.2,79.2,90.0,3.6
2,0.236,0.244,0.24,0.01,0.008,0.012,0.172,-0.081,0.523,90.0,90.0,79.2,90.0,90.0,4.5
3,0.102,0.116,0.109,0.013,-0.004,0.014,0.203,-0.199,0.558,79.2,90.0,79.2,79.2,79.2,3.6
4,0.432,0.477,0.453,0.01,0.003,0.012,0.043,-0.011,0.101,90.0,90.0,90.0,90.0,90.0,4.5
5,0.013,0.012,0.012,0.015,-0.015,0.015,0.71,-0.71,0.71,56.7,72.0,72.0,79.2,72.0,0.9
6,0.011,0.012,0.011,0.01,-0.01,0.01,0.02,-0.02,0.02,79.2,90.0,79.2,90.0,90.0,3.6
7,0.055,0.07,0.062,0.005,0.003,0.006,0.323,-0.243,0.427,79.2,79.2,79.2,79.2,72.0,2.7
8,0.051,0.105,0.069,0.011,-0.006,0.011,0.717,-0.717,1.179,79.2,79.2,79.2,79.2,79.2,3.6
9,0.216,0.372,0.274,0.01,-0.0,0.011,0.481,-0.476,0.851,79.2,90.0,79.2,90.0,79.2,3.6
10,0.18,0.186,0.183,0.013,0.013,0.015,0.21,-0.118,0.594,56.7,79.2,72.0,72.0,79.2,2.52
11,0.011,0.012,0.012,0.02,0.02,0.02,0.02,-0.02,0.02,72.0,79.2,79.2,79.2,56.7,2.7
12,0.248,0.291,0.267,0.012,-0.005,0.013,0.119,-0.112,0.343,79.2,79.2,79.2,79.2,79.2,3.15
