onset,muted,offset
6.17,N,6.37968254
6.57,N,6.867301587
6.855,N,9.457777778
9.44,N,9.62
9.86,N,10.17904762
10.145,N,12.74920635
12.745,N,13.02349206
13.15,N,13.46031746
13.435,N,16.04063492
16.03,N,16.24
16.46,N,16.71836735
16.72,N,19.2
19.33,N,19.58603175
19.715,N,19.97206349
20.01,N,22.49142857
22.61,N,22.85714286
23.025,N,23.26349206
23.29,N,25.72190476
25.9,N,26.117
26.295,N,26.51
26.57,N,29.09460318
29.185,N,29.44
29.585,N,29.84634921
29.87,N,32.32507937
32.345,N,32.67047619
32.465,N,33.13777778
32.875,N,35.55555556
33.17,N,35.98222222
35.77,N,36.36825397
36.17,N,38.865
36.45,N,39.25333333
39.035,N,39.65968254
39.44,N,42.21968254
39.73,N,42.54476191
42.345,N,42.93079365
42.745,N,45.28761905
43.025,N,45.83619048
45.61,N,46.22222222
46.035,N,48.4368254
46.325,Y,48.8584127
48.77,Y,49.11746032
48.9,Y,49.25460318
49.165,Y,49.65079365
49.305,Y,50.09142857
49.745,Y,50.51428571
50.15,Y,50.86204082
50.57,Y,51.3044898
51.215,Y,51.60489796
51.38,Y,51.84326531
51.655,Y,52.13387755
52.055,Y,52.52897959
52.225,Y,52.94367347
52.865,Y,53.36326531
53.03,Y,53.76653061
53.43,Y,54.14857143
53.835,Y,54.58938776
54.505,Y,54.87346939
54.67,Y,55.10204082
54.935,Y,55.37795918
55.325,Y,55.80897959
55.48,Y,56.24653061
55.88,Y,56.68408163
56.325,Y,57.08408163
56.735,Y,57.43387755
57.14,Y,57.85306122
57.785,Y,58.14204082
57.935,Y,58.38040816
58.23,Y,58.68734694
58.63,Y,59.11346939
58.775,Y,59.55918367
59.47,Y,59.79428571
59.59,Y,59.94285714
59.845,Y,60.35102041
59.995,Y,60.70857143
60.42,Y,61.18530612
61.08,Y,61.49714286
61.23,Y,61.67346939
61.52,Y,61.9755102
61.895,Y,62.39836735
62.045,Y,62.83591837
62.465,Y,63.27183674
62.885,Y,63.64734694
63.305,Y,63.99673469
63.7,Y,64.4555102
64.385,Y,64.77061225
64.525,Y,64.97306122
64.83,Y,65.26530612
65.18,Y,65.69306122
65.345,Y,66.10122449
66.025,Y,66.39020408
66.165,Y,66.5322449
66.44,Y,66.95510204
66.58,Y,67.28816327
66.99,Y,67.72571429
67.67,Y,68.04897959
67.81,Y,68.25795918
68.09,Y,68.54040816
68.475,Y,68.97632653
68.635,Y,69.40408163
69.035,Y,69.84163265
69.465,Y,70.24979592
69.89,Y,70.60081633
70.29,Y,71.04326531
70.935,Y,71.32571429
71.11,Y,71.33
71.385,Y,71.58204082
71.785,Y,71.87428571
71.935,Y,72.24653061
72.595,Y,72.68571429
72.745,Y,72.97795918
73.02,Y,73.10530612
73.165,Y,73.47591837
73.54,Y,73.9444898
74.255,Y,74.36571429
74.41,Y,74.6644898
75.215,Y,75.39428571
75.625,Y,75.85142857
75.91,Y,77.3044898
